# author: kadrlica
# date: 2016/02/11
# version: maglites v2.1
#
# Obseved dates come from the actual start and end times for the nights
# Start and end times for future dates come from kentools `ephem` output.
# Y2 dates are assigned in 2016A; Y2 dates are approximate
# 10 minutes is added to the night midpoint to account for standard stars.
UTC_START,UTC_END
2016/02/11 04:57:00,2016/02/11 08:37:00
2016/02/12 05:07:00,2016/02/12 09:18:00
2016/02/13 05:02:00,2016/02/13 09:17:00
2016/02/14 05:12:00,2016/02/14 09:18:00
2016/02/15 05:09:00,2016/02/15 09:15:00
2016/02/16 05:07:00,2016/02/16 09:20:00
2016/06/27 22:58:00,2016/06/28 10:34:00
2016/06/28 22:58:00,2016/06/29 10:34:00
2016/06/29 22:58:00,2016/06/30 10:34:00
2017/02/19 05:07:00,2017/02/19 09:24:00
2017/02/20 05:07:00,2017/02/20 09:25:00
2017/02/21 05:07:00,2017/02/21 09:26:00
2017/02/22 05:06:00,2017/02/22 09:26:00
2017/02/23 05:06:00,2017/02/23 09:27:00
2017/02/24 05:06:00,2017/02/24 09:28:00
2017/06/27 22:58:00,2017/06/28 10:34:00
2017/06/28 22:58:00,2017/06/29 10:34:00
2017/06/29 22:58:00,2017/06/30 10:34:00
